age,gender,occupation,work_mode,screen_time,sleep_hours,stress_level,physical_activity,social_interaction,wellness
32,Female,Self-Employed,Remote,8.8,8.7,4,4.6,8.4,High
34,Male,Employed,Remote,5.4,5.6,3,5.4,4.6,High
33,Other,Self-Employed,Remote,7.3,4.9,4,3.5,9.0,High
20,Other,Student,Remote,6.4,5.1,5,1.7,2.8,Medium
39,Male,Employed,Onsite,5.8,5.8,2,1.3,3.3,Medium
44,Male,Employed,Onsite,5.3,7.4,8,8.7,9.2,High
34,Female,Unemployed,Onsite,1.8,7.0,4,2.1,3.7,High
39,Female,Employed,Hybrid,5.8,7.6,10,0.4,2.5,Medium
24,Other,Self-Employed,Hybrid,5.6,6.7,2,4.5,5.3,High
32,Male,Self-Employed,Onsite,2.6,6.8,1,2.1,3.3,High
42,Male,Student,Onsite,7.1,7.9,2,0.9,5.4,High
51,Other,Unemployed,Onsite,6.1,5.9,5,3.6,6.5,High
51,Other,Unemployed,Hybrid,9.9,7.0,1,0.1,2.3,Medium
23,Other,Unemployed,Remote,2.7,5.4,8,9.0,0.8,Medium
48,Male,Unemployed,Hybrid,9.1,6.9,4,0.1,9.8,High
47,Female,Self-Employed,Remote,9.4,6.8,8,4.8,8.4,High
22,Female,Employed,Remote,7.4,5.0,4,2.4,1.1,Medium
43,Female,Unemployed,Remote,6.2,4.8,4,3.2,5.9,Medium
23,Female,Unemployed,Remote,5.9,6.7,2,3.2,8.1,High
18,Other,Student,Onsite,7.8,7.0,8,6.1,7.9,High
48,Male,Student,Remote,7.7,6.0,5,7.3,9.4,High
29,Other,Self-Employed,Onsite,7.7,6.9,8,8.3,7.5,High
47,Other,Student,Onsite,8.3,7.3,10,9.1,3.2,High
59,Male,Employed,Hybrid,7.4,8.5,6,5.4,4.4,High
50,Male,Student,Onsite,4.5,6.7,5,9.1,6.2,High
23,Female,Self-Employed,Hybrid,7.6,7.5,4,7.9,6.2,High
47,Other,Self-Employed,Onsite,2.4,5.6,5,7.8,1.4,High
21,Female,Employed,Remote,5.4,7.8,6,8.2,1.1,High
53,Male,Unemployed,Hybrid,8.2,4.7,4,7.2,7.2,High
48,Other,Self-Employed,Remote,3.3,5.7,10,3.4,2.3,Medium
40,Other,Employed,Remote,6.5,8.6,8,5.1,6.1,High
57,Other,Unemployed,Onsite,9.3,7.5,10,7.7,3.7,Medium
26,Female,Self-Employed,Onsite,1.9,8.2,7,1.2,2.4,High
43,Female,Unemployed,Remote,8.5,5.7,6,5.2,5.9,High
38,Other,Student,Onsite,4.0,8.0,5,6.0,1.1,High
42,Female,Self-Employed,Remote,4.1,5.7,2,9.2,5.9,High
41,Male,Self-Employed,Remote,1.3,5.6,6,2.2,2.1,Medium
24,Male,Unemployed,Onsite,2.3,6.1,8,5.0,6.0,High
30,Female,Self-Employed,Hybrid,2.9,8.5,1,0.4,4.7,High
57,Other,Employed,Onsite,8.0,6.3,2,5.3,4.8,High
47,Female,Self-Employed,Hybrid,1.9,5.7,7,9.5,3.7,High
27,Other,Employed,Remote,4.7,4.1,2,8.7,4.1,High
20,Other,Self-Employed,Hybrid,1.2,4.5,5,1.8,6.5,Medium
25,Female,Self-Employed,Remote,6.4,8.0,4,9.4,1.4,High
31,Other,Self-Employed,Remote,1.1,4.4,7,8.5,1.2,Medium
36,Male,Unemployed,Remote,9.0,8.1,4,3.4,8.3,High
20,Other,Self-Employed,Onsite,4.1,7.9,9,4.4,2.9,High
39,Male,Employed,Remote,5.4,8.5,1,4.8,5.1,High
26,Female,Student,Onsite,3.3,4.7,4,1.3,9.0,High
51,Other,Student,Hybrid,8.4,6.6,10,5.8,2.7,Medium
34,Male,Student,Remote,8.5,5.0,10,1.4,2.6,Low
48,Female,Self-Employed,Remote,6.4,7.3,7,5.7,8.4,High
38,Female,Employed,Remote,1.4,4.8,1,0.8,6.0,High
43,Male,Student,Hybrid,3.6,5.8,1,7.2,6.1,High
51,Other,Self-Employed,Remote,2.2,6.4,10,0.3,2.6,Low
52,Other,Student,Remote,9.6,4.8,9,7.7,1.1,Low
26,Male,Student,Onsite,7.3,7.0,9,2.5,8.2,High
54,Other,Employed,Remote,6.3,5.8,1,1.4,9.5,High
29,Female,Unemployed,Hybrid,7.6,8.0,7,7.2,6.4,High
25,Male,Employed,Onsite,6.8,7.5,9,9.4,0.4,High
27,Other,Student,Hybrid,6.0,6.4,7,0.3,7.0,Medium
26,Other,Unemployed,Remote,4.8,8.0,4,8.4,3.2,High
59,Other,Student,Remote,6.4,5.2,2,8.8,5.3,High
43,Other,Self-Employed,Hybrid,3.8,6.7,6,3.2,6.3,High
33,Male,Employed,Remote,4.8,6.3,2,0.2,8.7,High
30,Female,Unemployed,Hybrid,1.6,4.0,1,4.0,4.8,High
33,Other,Student,Remote,1.8,5.7,4,7.4,2.4,High
20,Male,Employed,Remote,8.7,7.6,5,0.4,0.2,Medium
32,Male,Self-Employed,Onsite,4.5,4.6,10,8.0,2.6,Medium
23,Other,Unemployed,Hybrid,9.5,6.3,2,1.7,9.9,High
25,Male,Self-Employed,Remote,6.5,6.6,10,0.5,3.8,Low
58,Male,Employed,Hybrid,8.4,8.0,6,9.7,8.8,High
52,Female,Student,Onsite,3.3,6.6,2,7.0,1.5,High
49,Other,Employed,Onsite,3.0,6.7,9,8.9,8.6,High
28,Male,Unemployed,Hybrid,3.5,6.4,3,9.6,8.6,High
26,Other,Unemployed,Onsite,6.0,4.4,8,2.5,0.1,Low
22,Female,Employed,Remote,9.7,4.5,5,9.9,0.6,Medium
49,Female,Student,Hybrid,8.4,5.7,2,5.4,8.6,High
50,Female,Unemployed,Hybrid,8.8,5.2,9,3.3,2.4,Low
59,Other,Self-Employed,Remote,2.7,8.4,10,4.7,8.8,High
59,Female,Unemployed,Hybrid,3.1,8.5,2,8.2,8.3,High
46,Other,Employed,Onsite,6.6,8.9,1,1.2,3.8,High
41,Male,Self-Employed,Remote,3.6,4.1,9,9.6,3.4,Medium
32,Female,Student,Onsite,8.1,4.9,4,0.7,3.0,Medium
34,Female,Student,Remote,5.3,4.3,8,0.5,8.7,Medium
46,Other,Self-Employed,Onsite,4.5,4.3,1,3.2,4.9,High
28,Female,Self-Employed,Remote,2.4,6.3,4,4.3,4.5,High
56,Other,Self-Employed,Onsite,7.2,5.1,2,7.7,2.3,High
28,Other,Self-Employed,Onsite,9.7,4.2,5,9.1,8.6,High
37,Female,Self-Employed,Onsite,5.0,5.6,10,8.9,2.3,Medium
52,Male,Student,Remote,8.8,6.4,8,1.6,2.0,Low
46,Male,Unemployed,Hybrid,5.1,6.7,7,6.3,1.3,Medium
41,Female,Self-Employed,Remote,5.2,4.0,7,1.3,6.9,Medium
53,Male,Employed,Onsite,2.4,7.3,5,2.7,8.0,High
28,Male,Student,Onsite,1.7,6.0,6,2.9,6.9,High
50,Female,Student,Hybrid,5.3,4.5,1,1.0,5.7,High
32,Female,Employed,Onsite,6.0,4.0,1,5.2,0.9,Medium
30,Female,Student,Onsite,1.7,6.0,2,9.8,2.0,High
32,Female,Employed,Hybrid,7.0,8.8,3,9.0,5.9,High
26,Other,Self-Employed,Onsite,7.4,8.4,2,6.3,7.8,High
24,Other,Unemployed,Remote,8.4,6.3,3,0.4,1.6,Medium
31,Other,Employed,Remote,6.3,7.3,9,8.7,2.2,High
53,Male,Unemployed,Onsite,8.1,7.3,3,1.6,0.2,Medium
36,Female,Student,Onsite,5.4,4.4,3,6.8,0.7,Medium
32,Male,Self-Employed,Onsite,8.8,7.6,8,4.3,3.5,Medium
37,Female,Student,Hybrid,6.2,6.2,5,4.0,6.1,High
32,Female,Unemployed,Remote,6.9,9.0,10,9.1,2.1,High
35,Male,Self-Employed,Onsite,2.2,7.6,7,6.3,3.7,High
19,Other,Student,Onsite,1.6,6.2,6,8.7,4.5,High
56,Male,Unemployed,Remote,1.9,7.3,9,9.7,2.6,High
54,Male,Self-Employed,Onsite,8.0,4.7,7,4.5,2.4,Medium
20,Female,Employed,Remote,5.0,7.3,9,4.3,2.5,Medium
29,Male,Student,Remote,2.5,4.2,5,3.6,5.3,Medium
45,Other,Self-Employed,Remote,2.9,4.6,2,9.9,1.2,High
54,Female,Student,Onsite,2.1,6.3,5,0.9,1.0,Medium
31,Female,Unemployed,Onsite,5.3,7.4,2,3.2,9.7,High
56,Other,Unemployed,Hybrid,5.7,5.7,6,1.4,0.3,Low
33,Female,Employed,Hybrid,2.5,4.9,7,6.7,4.4,High
22,Other,Employed,Hybrid,7.2,8.2,10,3.7,0.2,Medium
35,Male,Employed,Hybrid,6.1,4.2,8,8.0,9.2,High
18,Other,Self-Employed,Remote,4.5,7.3,10,3.5,1.6,Medium
23,Other,Student,Onsite,4.7,8.4,9,0.9,2.9,Medium
28,Female,Student,Remote,3.9,7.3,6,9.0,8.8,High
40,Other,Student,Hybrid,4.4,5.5,7,0.1,3.2,Medium
29,Female,Self-Employed,Hybrid,7.3,5.9,9,6.0,5.5,Medium
52,Female,Employed,Hybrid,6.4,7.3,10,7.6,5.0,High
38,Female,Unemployed,Remote,5.3,4.1,10,1.1,1.5,Low
54,Other,Unemployed,Hybrid,4.5,6.7,2,7.2,5.2,High
38,Other,Self-Employed,Hybrid,9.1,4.4,9,6.5,3.8,Medium
21,Male,Student,Remote,2.8,4.8,4,2.6,2.8,Medium
44,Male,Self-Employed,Hybrid,6.2,4.4,2,4.0,9.8,High
43,Male,Employed,Hybrid,2.1,8.3,7,5.3,7.1,High
59,Male,Employed,Remote,8.3,6.8,8,5.3,1.1,Medium
30,Other,Employed,Remote,5.6,7.0,10,2.1,6.1,Medium
59,Male,Employed,Hybrid,8.0,5.4,3,8.5,6.7,High
42,Female,Self-Employed,Remote,5.1,6.9,1,7.4,8.6,High
38,Male,Employed,Onsite,6.8,7.0,10,2.6,6.3,Medium
42,Female,Unemployed,Hybrid,6.4,7.4,10,4.3,7.2,High
28,Other,Unemployed,Remote,1.9,7.6,10,9.1,7.7,High
53,Male,Student,Hybrid,4.6,5.8,6,3.5,0.7,Medium
19,Male,Unemployed,Hybrid,6.8,5.4,8,6.5,5.3,Medium
20,Female,Employed,Remote,9.9,7.3,1,10.0,4.5,High
25,Female,Unemployed,Remote,9.6,4.9,9,1.7,4.1,Low
47,Male,Self-Employed,Onsite,3.7,8.9,3,9.3,2.3,High
45,Other,Unemployed,Remote,9.9,8.6,1,8.4,5.2,High
23,Female,Employed,Hybrid,8.8,7.0,6,1.6,0.6,Medium
53,Male,Self-Employed,Remote,4.1,5.9,2,9.4,5.5,High
28,Other,Unemployed,Remote,5.0,7.0,7,1.6,7.9,High
32,Female,Unemployed,Onsite,4.5,6.5,1,1.2,8.2,High
52,Female,Unemployed,Remote,8.8,8.0,7,3.0,0.8,Medium
38,Other,Employed,Hybrid,7.3,5.7,4,5.7,9.3,High
19,Male,Student,Remote,3.8,7.0,1,6.1,7.6,High
20,Other,Student,Remote,2.3,5.8,8,4.8,5.1,High
32,Male,Unemployed,Onsite,9.4,8.4,6,0.0,0.2,Medium
19,Other,Self-Employed,Hybrid,1.6,7.9,10,2.1,4.8,Medium
48,Other,Student,Hybrid,3.2,4.7,9,7.8,2.7,Medium
24,Male,Unemployed,Hybrid,3.1,5.2,4,1.7,6.6,High
55,Other,Employed,Hybrid,8.1,6.0,3,3.7,4.1,High
31,Other,Student,Onsite,7.9,4.1,2,1.3,4.2,Medium
55,Other,Student,Remote,7.1,4.9,5,2.2,0.1,Low
38,Male,Employed,Onsite,9.6,6.4,3,2.7,6.5,High
38,Other,Student,Remote,2.1,8.3,2,4.8,3.8,High
46,Female,Employed,Onsite,9.6,4.7,1,6.6,9.4,High
19,Male,Student,Remote,9.4,5.3,8,4.6,6.4,Medium
51,Other,Employed,Onsite,6.5,4.3,8,8.8,1.1,Medium
18,Other,Student,Onsite,1.3,7.7,1,0.7,0.7,High
41,Male,Student,Onsite,4.5,6.3,4,3.5,7.7,High
24,Other,Unemployed,Hybrid,2.6,4.5,6,7.6,2.7,High
55,Other,Unemployed,Onsite,3.7,7.8,9,9.8,6.7,High
20,Male,Unemployed,Remote,3.3,4.3,9,5.3,0.4,Low
27,Male,Unemployed,Hybrid,9.8,7.0,5,9.2,5.2,High
49,Female,Self-Employed,Remote,4.0,8.6,7,1.0,3.8,High
31,Female,Student,Remote,9.5,5.2,5,6.8,5.0,High
38,Other,Employed,Remote,8.8,8.2,9,5.4,6.4,High
38,Female,Unemployed,Remote,7.6,7.9,6,7.5,2.7,High
45,Male,Student,Remote,2.0,7.4,4,8.2,2.1,High
40,Male,Employed,Hybrid,7.8,7.7,3,3.0,5.7,High
46,Female,Self-Employed,Hybrid,8.9,6.2,8,4.6,0.1,Low
18,Male,Self-Employed,Onsite,3.5,5.0,10,6.6,3.1,Medium
38,Female,Self-Employed,Hybrid,2.7,5.8,9,5.5,0.1,Medium
43,Female,Employed,Onsite,1.1,7.7,5,3.7,3.3,High
48,Other,Employed,Hybrid,10.0,5.8,4,7.2,8.9,High
52,Female,Student,Remote,4.7,7.5,5,0.3,1.7,Medium
37,Male,Self-Employed,Hybrid,5.3,7.2,8,1.0,2.3,Medium
21,Female,Unemployed,Remote,6.4,7.0,3,5.0,0.8,High
39,Male,Unemployed,Remote,9.8,5.0,4,5.2,4.4,Medium
53,Female,Self-Employed,Onsite,4.9,4.4,4,0.6,8.0,Medium
28,Male,Unemployed,Remote,6.8,6.1,4,5.0,1.8,Medium
32,Female,Self-Employed,Remote,7.7,7.7,10,5.9,1.8,Medium
27,Female,Self-Employed,Onsite,7.3,6.9,6,2.7,5.2,High
36,Female,Self-Employed,Remote,3.0,5.9,5,4.8,4.4,High
22,Female,Employed,Remote,7.6,6.5,1,7.8,0.1,High
58,Female,Employed,Onsite,7.8,7.3,4,0.1,2.8,Medium
59,Female,Employed,Hybrid,3.2,8.5,8,9.7,3.7,High
48,Female,Student,Onsite,3.4,4.8,4,0.3,0.6,Low
38,Female,Student,Hybrid,4.1,8.5,2,7.3,5.5,High
41,Other,Unemployed,Hybrid,4.5,8.1,8,2.6,7.3,High
38,Female,Student,Hybrid,7.5,5.0,1,4.6,9.7,High
29,Male,Student,Onsite,1.2,7.6,10,0.9,6.8,High
50,Male,Unemployed,Onsite,3.0,6.0,9,7.9,5.5,High
51,Female,Employed,Remote,8.6,6.1,5,9.5,8.5,High
19,Female,Employed,Hybrid,6.9,6.7,8,7.9,1.1,Medium
27,Other,Unemployed,Hybrid,8.1,5.0,7,8.7,5.4,High
21,Female,Unemployed,Remote,1.2,4.6,6,1.6,2.6,Medium
58,Female,Unemployed,Remote,6.0,6.8,8,4.6,9.1,High
50,Female,Unemployed,Hybrid,1.9,7.3,9,4.0,0.9,Medium
22,Other,Self-Employed,Remote,1.8,5.8,9,5.8,6.3,High
26,Other,Self-Employed,Remote,5.8,4.8,4,5.6,1.7,Medium
33,Other,Student,Hybrid,9.1,4.8,6,1.4,2.0,Low
25,Male,Unemployed,Hybrid,3.8,8.0,6,8.6,1.2,High
28,Female,Self-Employed,Onsite,4.8,8.9,5,7.3,3.2,High
45,Female,Employed,Hybrid,6.9,4.6,5,5.6,5.3,Medium
42,Female,Employed,Remote,4.4,8.9,9,8.2,5.4,High
36,Male,Self-Employed,Remote,8.4,6.3,5,2.5,8.2,High
29,Female,Employed,Onsite,2.0,4.4,1,2.4,1.4,Medium
58,Other,Self-Employed,Remote,7.7,7.3,6,7.4,8.1,High
47,Other,Self-Employed,Hybrid,1.3,7.7,2,3.3,6.9,High
45,Other,Self-Employed,Remote,8.7,5.1,8,0.7,0.8,Low
20,Female,Student,Hybrid,3.7,5.1,3,7.6,4.1,High
31,Male,Self-Employed,Onsite,8.1,7.3,2,6.5,8.7,High
44,Other,Self-Employed,Hybrid,4.5,5.9,4,3.8,1.3,Medium
36,Female,Self-Employed,Remote,5.3,4.1,8,7.4,9.2,High
40,Female,Unemployed,Onsite,3.6,8.6,10,7.0,8.4,High
